key,en,ru
Быстрая игра,Quick Game,Быстрая игра
Турнир,Tournament,Турнир
EN / RU,EN / RU,EN / RU
• [b]Управление:[/b] стрелки ← ↑ ↓ → — перемещайте ракетку. • [b]Быстрая игра:[/b] один полноценный матч — сыграйте и сразу узнайте результат. • [b]Турнир:[/b] серия из 6 матчей — пройдите дистанцию и докажите стабильность.,• [b]Controls:[/b] arrows ← ↑ ↓ → — move your paddle. • [b]Quick Game:[/b] one full match — play and see the result immediately. • [b]Tournament:[/b] series of 6 matches — complete the distance and prove your consistency.,• [b]Управление:[/b] стрелки ← ↑ ↓ → — перемещайте ракетку. • [b]Быстрая игра:[/b] один полноценный матч — сыграйте и сразу узнайте результат. • [b]Турнир:[/b] серия из 6 матчей — пройдите дистанцию и докажите стабильность.
ФИНАЛЬНЫЕ РЕЗУЛЬТАТЫ,FINAL RESULTS,ФИНАЛЬНЫЕ РЕЗУЛЬТАТЫ
Поздравляем — вы заняли 1-е место!,Congratulations — you took 1st place!,Поздравляем — вы заняли 1-е место!
В меню,To Menu,В меню
Начать турнир заново,Restart Tournament,Начать турнир заново
Команда,Team,Команда
Очки,Points,Очки
Забито,Goals For,Забито
Пропущено,Goals Against,Пропущено
Разница,Difference,Разница
Поздравляем — вы заняли {v}-е место!,Congratulations — you took {v}th place!,Поздравляем — вы заняли {v}-е место!
Компьютер занял {v}-е место,Computer took {v}th place,Компьютер занял {v}-е место
Подтверждение,Confirmation,Подтверждение
Вы уверены, что хотите вернуться в меню?,Are you sure you want to return to the menu?,Вы уверены, что хотите вернуться в меню?
Тур {v1} из {v2},Round {v1} of {v2},Тур {v1} из {v2}
ТУР {v},ROUND {v},ТУР {v}
Русский,Russian,Русский
Введите название вашей команды,Enter your team name,Введите название вашей команды
ИГРАТЬ СЛЕДУЮЩИЙ МАТЧ,PLAY NEXT MATCH,ИГРАТЬ СЛЕДУЮЩИЙ МАТЧ
ЗАБИТО,GOALS FOR,ЗАБИТО
КАЛЕНДАРЬ ТУРОВ,SCHEDULE,КАЛЕНДАРЬ ТУРОВ
КОМАНДА,TEAM,КОМАНДА
Начать турнир,Start Tournament,Начать турнир
ОЧКИ,POINTS,ОЧКИ
ПРОПУЩЕНО,GOALS AGAINST,ПРОПУЩЕНО
РАЗНИЦА,DIFFERENCE,РАЗНИЦА
СИМУЛИРОВАТЬ МАТЧ,SIMULATE MATCH,СИМУЛИРОВАТЬ МАТЧ
слева,left,слева
справа,right,справа
ТАБЛИЦА КОМАНД,TEAMS TABLE,ТАБЛИЦА КОМАНД
Тур 1 из 6,Round 1 of 6,Тур 1 из 6
ТУРНИРНАЯ ТАБЛИЦА,TOURNAMENT TABLE,ТУРНИРНАЯ ТАБЛИЦА
HOW_TO_PLAY_TEXT,"• [b]Controls:[/b] arrows ← ↑ ↓ → — move your paddle.

• [b]Quick Game:[/b] one full match — play and see the result immediately.

• [b]Tournament:[/b] series of 6 matches — complete the distance and prove your consistency.","• [b]Управление:[/b] стрелки ← ↑ ↓ → — перемещайте ракетку.

• [b]Быстрая игра:[/b] один полноценный матч — сыграйте и сразу узнайте результат.

• [b]Турнир:[/b] серия из 6 матчей — пройдите дистанцию и докажите стабильность."
